videoId,commentId,authorDisplayName,textOriginal,likeCount,student_1,student_2,student_3
BpqsCqqgk0w,Ugz42xTO8d-SzXo1FYp4AaABAg,姚柔伊,"庶民選總統，
我們選的總統，
不須美國點頭，
不像蔡英文拿我們人民的錢，
買個爛貨的飛機(？)
蔡英文妳拿自己的錢去拍美國的屁股吧！
庶民選總統，大家一起出征吧！",218,,有關-仇美-1,有關-仇美-1
BpqsCqqgk0w,Ugz7WIZZkG0De0Fgj-R4AaABAg,李登銘,不要現在去美國，選上後，讓美國來有求韓國瑜！,210,,有關-仇美-1,有關-中立0
BpqsCqqgk0w,Ugz7WIZZkG0De0Fgj-R4AaABAg.90ECa6e8LGy90EK97VPd3g,薛德貴,讚。就是這樣。不要讓美國人耍屌。美國人壞。,208,,有關-仇美-1,有關-仇美-1
BpqsCqqgk0w,Ugz7WIZZkG0De0Fgj-R4AaABAg.90ECa6e8LGy90EVzs3OQGN,老和尚,正確，選上總統後，美國就會來找新總統，因為新的總統可能讓美國頭痛，台中美如果沒有處理好，就有好戲可看，韓市長不去美國的這張牌打得很漂亮，讓中美兩國對台灣的重視，🇹🇼不要當他們的棋子，搞好經濟自立自強,209,,有關-仇美-1,無關對美立場
BpqsCqqgk0w,UgzLwuk8D5cSFfq0xgF4AaABAg,Jackie406coupe jackie406coupe,不去美國是對的，當選總統再去也不遲，老美也會請你去，川普的美國優先會問你要買多少次級美軍淘汰又比別國買還貴的武器，先把選戰打好ㄧ步一腳印，慎防民畜黨奧步作票和人身安全。,221,,有關-中立0,有關-仇美-1
BpqsCqqgk0w,Ugzahgvo2CCXnvbHxYV4AaABAg,MsTc007,笑死人了，美國已經介入中華民國2020年的總統大選。 竟然，反問中國大陸若介入2020年大選 …… 笑死人啦！,249,,有關-仇美-1,有關-仇美-1
BpqsCqqgk0w,UgzgA9vgDABBmC5MSJ94AaABAg,劉守,美國又不是台灣人的爸爸，他媽的。,231,,有關-仇美-1,有關-仇美-1
BpqsCqqgk0w,UgzlrW_Rvopk7VTFQGZ4AaABAg,Di Di,韓國瑜不去美國是對的。一心一意在台灣拼搏最後80天。,231,,有關-仇美-1,有關-仇美-1
BpqsCqqgk0w,UgzmRlwORBV1Mxb4Gct4AaABAg,鍾國華,不去是對的，回答任何五個問題都不利韓國瑜面對中美日等國際的挑剔！更提供綠媒酸韓的最佳題材，不去訪美可以保持最佳彈性。,213,,有關-仇美-1,有關-仇美-1
BpqsCqqgk0w,UgzvqdDvlVJLwslzYeh4AaABAg,Sophia Daly,台灣人民的選擇不必以美國為主！台灣人民自己有權利自己投下神聖的一票！台灣要自主就從2020開始！美國可以用＂台灣關係法＂維持和台灣的関係，台灣為什麼不能和別的國家簽署任何＂関係法＂！,238,,有關-仇美-1,有關-中立0
CDxAjnRcHic,Ugw-K2KZF4wJ7U1O6F94AaABAg,天地唯真,"美國突然公布釣魚島歸屬最大鐵證！世界一片譁然..........

http://www.qiqi.today/show/741141",624,,無關對美立場,有關-親美1
CDxAjnRcHic,UgxqYoUdFSjByjbh0CF4AaABAg.8xZ9lkkAhGQ8xZQ1d2JLX9,葉元偉,g111 照你的邏輯，空心蔡也不敢跟賴神辯論，還把賴做掉！更虛偽無恥喔！只會抱著美國、日本的大腿。,604,,有關-中立0,無關對美立場
